run_id,run_dir,phase,market,interval,codebook_size,min_volume,volume_filter,split_family,split_index,split_seed,train_symbols,val_symbols,test_symbols,train_candles,val_candles,test_candles,shape_val_train_l1,shape_test_train_l1,shape_val_train_max_diff,shape_test_train_max_diff,shape_train_entropy,shape_val_entropy,shape_test_entropy,shape_train_mean_sc,shape_val_mean_sc,shape_test_mean_sc,range_val_train_l1,range_test_train_l1,range_val_train_max_diff,range_test_train_max_diff,range_train_entropy,range_val_entropy,range_test_entropy,pair_val_train_l1,pair_test_train_l1,pair_val_train_max_diff,pair_test_train_max_diff,pair_train_entropy,pair_val_entropy,pair_test_entropy,kmeans_shape_val_train_l1,kmeans_shape_test_train_l1,kmeans_pair_val_train_l1,kmeans_pair_test_train_l1,kmeans_inertia_per_sample,kmeans_shape_mean_sc_train,kmeans_shape_mean_sc_val,kmeans_shape_mean_sc_test,notes
shape_token_range_bucket_NASDAQ_1m_k12,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b/shape_token_range_bucket_NASDAQ_1m_k12,1B,NASDAQ,1m,12,,,,,42,"[""AAPL"", ""MSFT"", ""NVDA"", ""TSLA"", ""AMZN"", ""META"", ""GOOGL"", ""AMD"", ""INTC"", ""RKLB"", ""AVGO""]","[""NFLX"", ""PLTR""]","[""MU"", ""QCOM"", ""MRVL""]",132000,24000,36000,0.0886818181818182,0.1075808080808081,0.0191780303030303,0.01885858585858586,3.468743,3.503848,3.478429,0.195891,0.196225,0.195,0.1373333333333333,0.6742777777777778,0.042458333333333334,0.18783333333333332,2.484184,2.386829,2.348427,0.19040151515151515,0.7119949494949496,0.0191780303030303,0.028242424242424246,5.904973,5.786859,5.682572,0.07718181818181814,0.09559595959595955,0.19665909090909092,0.7011464646464647,0.049058541962594696,0.20973451906171214,0.2147311970552247,0.21449035917241496,
shape_token_range_bucket_NASDAQ_1m_k12_random_00,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b/shape_token_range_bucket_NASDAQ_1m_k12_random_00,1B,NASDAQ,1m,12,,,random,0,0,"[""NFLX"", ""RKLB"", ""AAPL"", ""QCOM"", ""NVDA"", ""QQQ"", ""AVGO"", ""TSLA"", ""META"", ""MRVL"", ""SOXX"", ""GOOGL""]","[""AMD"", ""INTC""]","[""AMZN"", ""MSFT"", ""MU"", ""PLTR""]",144000,24000,48000,0.2339027777777778,0.13476388888888888,0.036576388888888894,0.026298611111111113,3.496803,3.432376,3.459218,0.195514,0.195339,0.196496,0.7025000000000001,0.175,0.1855416666666667,0.08293750000000001,2.484184,2.22484,2.442013,0.7053472222222222,0.21929166666666666,0.030361111111111113,0.026298611111111113,5.889635,5.617545,5.853916,0.2362638888888889,0.13043055555555555,0.7037083333333334,0.21695833333333336,0.04746518283420139,0.19316983305417867,0.19395801195535378,0.1951327064278613,
shape_token_range_bucket_NASDAQ_1m_k12_random_01,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b/shape_token_range_bucket_NASDAQ_1m_k12_random_01,1B,NASDAQ,1m,12,,,random,1,1,"[""AVGO"", ""META"", ""QCOM"", ""MRVL"", ""RKLB"", ""AAPL"", ""QQQ"", ""SOXX"", ""TSLA"", ""GOOGL"", ""NFLX"", ""MU""]","[""PLTR"", ""AMD""]","[""MSFT"", ""INTC"", ""NVDA"", ""AMZN""]",144000,24000,48000,0.19477777777777777,0.14830555555555558,0.03545138888888889,0.027222222222222224,3.242668,3.179016,3.18547,0.209916,0.212174,0.21054,0.42658333333333337,0.19933333333333328,0.14895833333333336,0.058958333333333335,2.484184,2.320829,2.406284,0.4562777777777778,0.22555555555555554,0.02876388888888889,0.027222222222222224,5.638084,5.461705,5.556151,0.20077777777777778,0.15990277777777778,0.4532222222222222,0.23025,0.047422003851996526,0.19318539959521205,0.1955965990151994,0.19443213407736692,
shape_token_range_bucket_NASDAQ_1m_k12_random_02,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b/shape_token_range_bucket_NASDAQ_1m_k12_random_02,1B,NASDAQ,1m,12,,,random,2,2,"[""SOXX"", ""PLTR"", ""AMD"", ""MRVL"", ""GOOGL"", ""AAPL"", ""INTC"", ""TSLA"", ""RKLB"", ""AMZN"", ""AVGO"", ""NFLX""]","[""QQQ"", ""MU""]","[""META"", ""QCOM"", ""NVDA"", ""MSFT""]",144000,24000,48000,0.14043055555555556,0.05362500000000001,0.025194444444444443,0.010694444444444444,3.498305,3.427252,3.490987,0.195777,0.195302,0.195724,0.3804305555555556,0.16300000000000006,0.1778402777777778,0.04746527777777779,2.484184,2.355777,2.434593,0.4505,0.19279166666666664,0.026090277777777778,0.010694444444444444,5.897143,5.764693,5.871662,0.15431944444444443,0.051083333333333335,0.4520694444444445,0.19313888888888886,0.04824176364474826,0.19390793141030363,0.1946727353598504,0.1942311600976366,
shape_token_range_bucket_NASDAQ_1m_k12_random_03,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b/shape_token_range_bucket_NASDAQ_1m_k12_random_03,1B,NASDAQ,1m,12,,,random,3,3,"[""INTC"", ""TSLA"", ""GOOGL"", ""META"", ""QQQ"", ""QCOM"", ""NVDA"", ""PLTR"", ""AAPL"", ""MSFT"", ""MU"", ""AVGO""]","[""MRVL"", ""RKLB""]","[""SOXX"", ""NFLX"", ""AMZN"", ""AMD""]",144000,24000,48000,0.12872222222222224,0.14693055555555556,0.017569444444444443,0.035861111111111114,3.473366,3.472484,3.495885,0.196707,0.194212,0.195263,0.7286666666666668,0.06458333333333327,0.19495833333333332,0.01735416666666667,2.484184,2.318864,2.436008,0.7734722222222222,0.20043055555555556,0.02627083333333333,0.035861111111111114,5.908988,5.637675,5.783553,0.10555555555555557,0.1222638888888889,0.7648333333333333,0.19558333333333333,0.04912501017252604,0.2109232900504412,0.2126361754227107,0.2132096751151449,
shape_token_range_bucket_NASDAQ_1m_k12_random_04,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b/shape_token_range_bucket_NASDAQ_1m_k12_random_04,1B,NASDAQ,1m,12,,,random,4,4,"[""PLTR"", ""QQQ"", ""META"", ""QCOM"", ""INTC"", ""SOXX"", ""AMZN"", ""MU"", ""AAPL"", ""AVGO"", ""MSFT"", ""NVDA""]","[""MRVL"", ""GOOGL""]","[""NFLX"", ""TSLA"", ""RKLB"", ""AMD""]",144000,24000,48000,0.07887499999999999,0.050361111111111106,0.011090277777777768,0.010979166666666665,3.48983,3.483303,3.494331,0.195677,0.192933,0.196141,0.13473611111111108,0.23102777777777778,0.050666666666666665,0.06625,2.484187,2.528923,2.520899,0.17556944444444442,0.23229166666666667,0.00829861111111111,0.010854166666666668,5.902503,5.915698,5.935635,0.07994444444444442,0.0502638888888889,0.1765972222222222,0.23262499999999997,0.048516398111979164,0.19433038929334812,0.1915861718046121,0.19496472294007774,
shape_token_range_bucket_NASDAQ_1m_k12_random_05,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b/shape_token_range_bucket_NASDAQ_1m_k12_random_05,1B,NASDAQ,1m,12,,,random,5,5,"[""AMZN"", ""RKLB"", ""GOOGL"", ""META"", ""SOXX"", ""QCOM"", ""MRVL"", ""MSFT"", ""NVDA"", ""QQQ"", ""AVGO"", ""TSLA""]","[""PLTR"", ""AMD""]","[""MU"", ""AAPL"", ""NFLX"", ""INTC""]",144000,24000,48000,0.17636111111111108,0.0649861111111111,0.03034722222222222,0.008395833333333338,3.475411,3.430635,3.467525,0.193272,0.195673,0.195392,0.46066666666666667,0.1800416666666667,0.14800000000000002,0.05081250000000001,2.484184,2.330078,2.511376,0.4902916666666667,0.2001388888888889,0.02401388888888889,0.008666666666666668,5.88239,5.716924,5.890092,0.17656944444444447,0.06904166666666663,0.4916388888888889,0.20472222222222222,0.04788340928819444,0.1932488198362787,0.19571208818569108,0.19545491788735217,
shape_token_range_bucket_NASDAQ_1m_k12_random_06,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b/shape_token_range_bucket_NASDAQ_1m_k12_random_06,1B,NASDAQ,1m,12,,,random,6,6,"[""AMZN"", ""MSFT"", ""NFLX"", ""TSLA"", ""PLTR"", ""MU"", ""GOOGL"", ""QCOM"", ""META"", ""AMD"", ""RKLB"", ""AVGO""]","[""MRVL"", ""SOXX""]","[""AAPL"", ""INTC"", ""QQQ"", ""NVDA""]",144000,24000,48000,0.27408333333333335,0.09334722222222222,0.06514583333333333,0.01430555555555555,3.355087,3.349254,3.297274,0.201701,0.196175,0.202177,0.18724999999999997,0.28125,0.06725,0.13808333333333334,2.484184,2.496025,2.351034,0.37274999999999997,0.32477777777777783,0.06514583333333333,0.02420138888888889,5.774313,5.601697,5.623692,0.27888888888888885,0.09493055555555552,0.3782777777777778,0.3257916666666667,0.0492149658203125,0.19452749342290077,0.18923507776207948,0.19503192593554494,
shape_token_range_bucket_NASDAQ_1m_k12_random_07,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b/shape_token_range_bucket_NASDAQ_1m_k12_random_07,1B,NASDAQ,1m,12,,,random,7,7,"[""SOXX"", ""NVDA"", ""RKLB"", ""QCOM"", ""AMD"", ""GOOGL"", ""NFLX"", ""TSLA"", ""MU"", ""META"", ""QQQ"", ""INTC""]","[""MSFT"", ""AAPL""]","[""MRVL"", ""PLTR"", ""AMZN"", ""AVGO""]",144000,24000,48000,0.06695833333333334,0.07980555555555557,0.019229166666666672,0.015937500000000007,3.459908,3.445696,3.465416,0.197034,0.196916,0.19612,0.5296666666666667,0.1469583333333333,0.14158333333333334,0.054854166666666676,2.484184,2.054646,2.436782,0.5580833333333334,0.19255555555555554,0.02042361111111111,0.007465277777777779,5.874117,5.45494,5.799741,0.067125,0.08434722222222218,0.55525,0.19243055555555558,0.048677866617838544,0.1946309231505482,0.19399267825125455,0.1932031134241066,
shape_token_range_bucket_NASDAQ_1m_k12_random_08,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b/shape_token_range_bucket_NASDAQ_1m_k12_random_08,1B,NASDAQ,1m,12,,,random,8,8,"[""AMZN"", ""RKLB"", ""AVGO"", ""GOOGL"", ""QQQ"", ""META"", ""MRVL"", ""INTC"", ""MU"", ""SOXX"", ""MSFT"", ""AAPL""]","[""QCOM"", ""TSLA""]","[""NVDA"", ""PLTR"", ""NFLX"", ""AMD""]",144000,24000,48000,0.05236111111111111,0.11230555555555552,0.008909722222222222,0.022951388888888882,3.494315,3.485493,3.492799,0.19333,0.193572,0.194842,0.2735000000000001,0.17679166666666668,0.06716666666666668,0.06441666666666668,2.484184,2.507409,2.411496,0.2827638888888889,0.20976388888888886,0.012840277777777777,0.013381944444444443,5.902368,5.90848,5.826681,0.045194444444444475,0.11361111111111108,0.2835972222222222,0.2067638888888889,0.04807046847873264,0.1932112596831573,0.19410024470338047,0.195518645865962,
